targetid,z,zerr,chi2,spectype,morphtype,ebv,flux_g,flux_r,flux_z,flux_w1,flux_w2,flux_ivar_g,flux_ivar_r,flux_ivar_z,flux_ivar_w1,flux_ivar_w2,fiberflux_g,fiberflux_r,fiberflux_z,fibertotflux_g,fibertotflux_r,fibertotflux_z,gaia_phot_g_mean_mag,gaia_phot_bp_mean_mag,gaia_phot_rp_mean_mag
1152921504619435527,-3.824001558878671e-05,4.481988732144973e-06,14892.817329817703,STAR,,0.05162886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.403383,0.0,0.0
2305843012942433355,-6.953920452076184e-05,3.822802211636241e-06,8263.021712450764,STAR,GPSF,0.1771419,-99.0,-99.0,-99.0,0.0,0.0,-99.0,-99.0,-99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.81798,18.380072,17.086666
2305843012950841090,4.4456109768296004e-05,6.850911362668871e-07,105931.54829622986,STAR,GPSF,0.13681357,-99.0,-99.0,-99.0,0.0,0.0,-99.0,-99.0,-99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.626845,13.854865,13.261581
2305843012950843292,-5.9100244704433555e-05,1.0866016801222741e-06,46184.95872724525,STAR,GPSF,0.16850616,-99.0,-99.0,-99.0,0.0,0.0,-99.0,-99.0,-99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.552247,14.9046335,14.034082
2305843012963417838,-0.00027246407185218624,4.6397351142835364e-07,131375.83189705585,STAR,GPSF,0.13248321,-99.0,-99.0,-99.0,0.0,0.0,-99.0,-99.0,-99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.780559,14.16168,13.242105
2305843012967610794,1.6080467309338387e-05,2.1679747991490405e-07,375729.9352753471,STAR,GPSF,0.1681776,-99.0,-99.0,-99.0,0.0,0.0,-99.0,-99.0,-99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.847852,13.572109,12.034561
2305843013353498185,-5.952447257499172e-06,7.213749540247704e-07,91089.86482983985,STAR,GPSF,0.13520095,-99.0,-99.0,-99.0,0.0,0.0,-99.0,-99.0,-99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.603076,13.911909,13.136317
2305843013366087302,2.5051177177476274e-05,1.4678694399820084e-06,17391.133460610927,STAR,GPSF,0.10743927,-99.0,-99.0,-99.0,0.0,0.0,-99.0,-99.0,-99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.501932,15.906147,14.944733
2305843013366076465,-9.089931646496343e-05,9.84572330352325e-07,31322.550708270723,STAR,GPSF,0.10665643,-99.0,-99.0,-99.0,0.0,0.0,-99.0,-99.0,-99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.146218,15.467619,14.661922
2305843013445747707,1.6351640744467273,9.204993490790501e-05,8178.603264272213,GALAXY,GPSF,0.20001692,-99.0,-99.0,-99.0,0.0,0.0,-99.0,-99.0,-99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.049133,18.470432,17.504623
